name	taxRank	genomeSize	numReads	numUniqueReads	abundance
Gordonia polyisoprenivorans	species	5844299	1	0	0
Bacillus weihenstephanensis	species	5872743	1	0	0
Burkholderia multivorans	species	10170089	1	0	0
Modestobacter	genus	0	1	0	0
Legionella pneumophila subsp. pneumophila	subspecies	31068438	1	0	0
Asaia bogorensis	species	3198265	1	0	0
Ketogulonicigenium vulgare	species	3282752	1	0	0
Desulfococcus oleovorans Hxd3	leaf	3944167	1	0	0
Saccharothrix espanaensis	species	9360653	1	0	0
Ensifer adhaerens	species	7267502	1	0	0
Actinomyces radicidentis	species	3051613	1	1	0
Spodoptera frugiperda ascovirus 1a	species	156922	1	1	0
Pseudarthrobacter sulfonivorans	species	5056151	1	0	0
Pannonibacter phragmitetus	species	5669701	1	1	0
Paraburkholderia fungorum	species	9058983	1	1	0
Actinoplanes sp. SE50/110	species	9239851	1	1	0
Massilia	genus	0	1	0	0
Kozakia baliensis	species	6599181	1	0	0
Magnetococcus marinus MC-1	leaf	4719581	1	1	0
Cedecea neteri	species	23867322	1	1	0
Collimonas fungivorans	species	5186898	1	0	0
Dechloromonas aromatica RCB	leaf	4501104	1	1	0
Streptomyces puniciscabiei	species	9698948	1	1	0
Agrobacterium fabrum str. C58	leaf	5674258	1	0	0
Oscillatoria nigro-viridis PCC 7112	leaf	8272254	1	1	0
Thermoprotei	class	2069204	1	0	0
Halobacteria	class	3711836	1	0	0
Thermoplasmata	class	1704877	1	0	0
Clostridia	class	3776178	1	0	0
Methanosarcina acetivorans C2A	leaf	5751492	1	0	0
Mycobacterium sp. KMS	species	6256079	1	1	0
Clostridium phage phi3626	species	33507	1	1	0
Caulobacter crescentus CB15	leaf	4016947	1	0	0
Vibrio coralliilyticus	species	17260629	1	0	0
Corynebacterium atypicum	species	2359448	1	0	0
Chlorobium tepidum TLS	leaf	2154946	1	1	0
Synechococcus sp. PCC 6312	species	3720499	1	1	0
Nocardioides sp. JS614	species	5293685	1	1	0
Candidatus Pelagibacter ubique	species	1308759	1	0	0
Pseudomonas trivialis	species	6452803	1	0	0
Collimonas	genus	5186898	1	0	0
Herminiimonas arsenicoxydans	species	3424307	1	0	0
Desulfovibrio alaskensis G20	leaf	3730232	1	0	0
Escherichia albertii	species	4701875	1	0	0
Shewanella oneidensis MR-1	leaf	5131424	1	1	0
Mycobacterium sp. JS623	species	7221766	1	1	0
Pseudomonas fluorescens SBW25	leaf	6722539	1	1	0
Rhizobium leguminosarum bv. viciae 3841	leaf	7751309	1	1	0
Oceanobacillus iheyensis HTE831	leaf	3630528	1	0	0
Helicobacter sp. MIT 01-6242	species	1594790	1	1	0
Vibrio parahaemolyticus RIMD 2210633	leaf	5165770	1	0	0
Methanomicrobia	class	3576094	1	0	0
Bacteroides thetaiotaomicron VPI-5482	leaf	6293399	1	0	0
Acidovorax sp. JS42	species	4585154	1	0	0
Chromobacterium violaceum ATCC 12472	leaf	4751080	1	0	0
Fictibacillus arsenicus	species	4055461	1	0	0
Glutamicibacter arilaitensis	species	3918192	1	1	0
Bordetella bronchiseptica RB50	leaf	5339179	1	0	0
Rhodopseudomonas palustris CGA009	leaf	5467640	1	0	0
Thermus thermophilus HB27	leaf	2127482	1	0	0
Verrucosispora maris AB-18-032	leaf	6732271	1	1	0
Rubrobacter xylanophilus DSM 9941	leaf	3225748	1	1	0
Cupriavidus metallidurans CH34	leaf	6913352	1	1	0
Rhodospirillum rubrum ATCC 11170	leaf	4406557	1	0	0
Methanosarcina barkeri str. Fusaro	leaf	4873766	1	0	0
Clostridium acetobutylicum ATCC 824	leaf	4132880	1	0	0
Methylobacterium extorquens AM1	leaf	6879778	1	0	0
Mycobacterium gilvum Spyr1	leaf	5783292	1	0	0
[Bacillus thuringiensis] serovar konkukian str. 97-27	leaf	5314794	1	0	0
Pseudoalteromonas sp. Bsw20308	species	4830226	1	1	0
Idiomarina loihiensis L2TR	leaf	2839318	1	0	0
Chlorobium phaeovibrioides DSM 265	leaf	1966858	1	1	0
Cronobacter sakazakii ATCC BAA-894	leaf	4530777	1	1	0
Thiobacillus denitrificans ATCC 25259	leaf	2909809	1	1	0
Alkaliphilus metalliredigens QYMF	leaf	4929566	1	1	0
Legionella pneumophila str. Lens	leaf	3405519	1	0	0
Thermus thermophilus HB8	leaf	2116056	1	0	0
Corynebacterium jeikeium K411	leaf	2476822	1	0	0
Polaribacter sp. MED152	species	2961474	1	0	0
Maribacter sp. HTCC2170	species	3868304	1	1	0
Streptococcus gallolyticus	species	2363453	1	1	0
Rhodopseudomonas palustris BisB18	leaf	5513844	1	1	0
Thiomicrospira crunogena XCL-2	leaf	2427734	1	1	0
Shewanella putrefaciens CN-32	leaf	4659220	1	1	0
Cyclobacterium amurskyense	species	6158829	1	1	0
Nitrobacter winogradskyi Nb-255	leaf	3402093	1	0	0
Shewanella loihica PV-4	leaf	4602594	1	1	0
Shewanella amazonensis SB2B	leaf	4306142	1	1	0
Burkholderia cenocepacia AU 1054	leaf	7279116	1	0	0
Burkholderia cenocepacia HI2424	leaf	7702840	1	0	0
Alphapapillomavirus 13	species	7759	1	1	0
Syntrophobacter fumaroxidans MPOB	leaf	4990251	1	1	0
Nitrosopumilus	genus	0	1	0	0
Burkholderia ambifaria AMMD	leaf	15057145	1	1	0
Rhodobacter sphaeroides ATCC 17029	leaf	4489380	1	0	0
Halorhodospira halophila SL1	leaf	2678452	1	1	0
Mycobacterium gilvum PYR-GCK	leaf	5982829	1	0	0
Shewanella sp. W3-18-1	species	4708380	1	0	0
Haloquadratum walsbyi DSM 16790	leaf	3179361	1	0	0
Sinorhizobium medicae WSM419	leaf	6817576	1	1	0
Pelotomaculum thermopropionicum SI	leaf	3025375	1	1	0
Haemophilus influenzae PittEE	leaf	1813033	1	0	0
Janthinobacterium sp. Marseille	species	4110251	1	0	0
Stigmatella aurantiaca DW4/3-1	leaf	10260756	1	1	0
Ralstonia eutropha H16	leaf	7416678	1	0	0
Pseudomonas aeruginosa PA7	leaf	6588339	1	1	0
Clostridium novyi NT	leaf	2547720	1	1	0
Nitratiruptor sp. SB155-2	species	1877931	1	1	0
Streptococcus sanguinis SK36	leaf	2388435	1	1	0
Verminephrobacter eiseniae EF01-2	leaf	5597943	1	0	0
Rickettsia bellii OSU 85-389	leaf	1528980	1	1	0
Sphingomonas wittichii RW1	leaf	5915246	1	1	0
Clostridium taeniosporum	species	3503541	1	1	0
Burkholderia multivorans ATCC 17616	leaf	14017432	1	0	0
Rhodopseudomonas palustris TIE-1	leaf	5744041	1	0	0
Thioalkalivibrio sulfidiphilus HL-EbGr7	leaf	3464554	1	1	0
Thioalkalivibrio sp. K90mix	species	2985056	1	0	0
Bacillus pseudofirmus OF4	leaf	4249248	1	1	0
Thermoanaerobacter sp. X514	species	2457259	1	0	0
Shewanella putrefaciens 200	leaf	4840251	1	0	0
Marinomonas sp. MWYL1	species	5100344	1	1	0
Ralstonia pickettii 12J	leaf	5325729	1	1	0
Anaeromyxobacter sp. Fw109-5	species	5277990	1	1	0
Salinicoccus halodurans	species	2778379	1	1	0
Streptomyces xiamenensis	species	5961401	1	1	0
Bacillus thuringiensis str. Al Hakam	leaf	10989993	1	0	0
Cronobacter muytjensii	species	4364114	1	0	0
Opitutae	class	4854188	1	0	0
Pseudoxanthomonas spadix	species	3452554	1	0	0
Ochrobactrum pseudogrignonense	species	4992805	1	1	0
Methanobrevibacter smithii ATCC 35061	leaf	1853160	1	1	0
Rhizobium sp. IRBG74	species	5464982	1	0	0
Desulfurivibrio alkaliphilus	species	3097763	1	0	0
Azorhizobium caulinodans ORS 571	leaf	5369772	1	1	0
Methylobacterium extorquens CM4	leaf	6180732	1	0	0
Clavibacter michiganensis subsp. michiganensis NCPPB 382	leaf	3395237	1	0	0
Streptomyces sp. CNQ-509	species	8039333	1	0	0
Pandoraea thiooxydans	species	4464186	1	0	0
Actinosynnema mirum DSM 43827	leaf	8248144	1	1	0
Brachybacterium faecium DSM 4810	leaf	3614992	1	1	0
Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111	leaf	6543312	1	0	0
Stackebrandtia nassauensis DSM 44728	leaf	6841557	1	1	0
Anaeromyxobacter sp. K	species	5061632	1	0	0
Polynucleobacter necessarius subsp. necessarius STIR1	leaf	1560469	1	0	0
Ignicoccus hospitalis KIN4/I	leaf	1297538	1	0	0
Anaeromyxobacter dehalogenans 2CP-1	leaf	5029329	1	0	0
Mycobacterium liflandii 128FXT	leaf	6399543	1	0	0
Methylobacterium nodulans ORS 2060	leaf	8839022	1	1	0
Bordetella flabilis	species	5954318	1	0	0
Conexibacter woesei DSM 14684	leaf	6359369	1	0	0
Thermomonospora curvata DSM 43183	leaf	5639016	1	1	0
Jonesia denitrificans DSM 20603	leaf	2749646	1	0	0
Altererythrobacter ishigakiensis	species	2673978	1	0	0
Sphaerobacter thermophilus DSM 20745	leaf	3993764	1	1	0
Veillonella parvula DSM 2008	leaf	2132142	1	1	0
Rickettsia philipii str. 364D	leaf	1287740	1	0	0
Acetobacter pasteurianus subsp. ascendens	subspecies	2999217	1	0	0
Halomicrobium mukohataei DSM 12286	leaf	3332349	1	1	0
Desulfohalobium retbaense DSM 5692	leaf	2909567	1	1	0
Burkholderia contaminans	species	8509249	1	1	0
Burkholderia diffusa	species	6857833	1	1	0
Cyanothece sp. PCC 7822	species	7841948	1	1	0
Thermus aquaticus Y51MC23	leaf	2338641	1	1	0
Corynebacterium urealyticum DSM 7109	leaf	2369219	1	0	0
Caulobacter segnis ATCC 21756	leaf	4655622	1	1	0
Tsukamurella paurometabola DSM 20162	leaf	4479724	1	0	0
Planctopirus limnophila DSM 3776	leaf	5460085	1	1	0
Candidatus Accumulibacter phosphatis clade IIA str. UW-1	leaf	5306133	1	0	0
Methanosarcina thermophila TM-1	leaf	3127379	1	1	0
Sebaldella termitidis ATCC 33386	leaf	4486650	1	0	0
Geodermatophilus obscurus DSM 43160	leaf	5322497	1	0	0
Bacillus cereus ATCC 4342	leaf	5306298	1	1	0
Azospirillum thiophilum	species	7609458	1	1	0
Proteus mirabilis HI4320	leaf	4099895	1	1	0
Pirellula staleyi DSM 6068	leaf	6196199	1	1	0
Pelagibacterium halotolerans	species	3948887	1	0	0
Flavobacteriaceae bacterium 3519-10	species	2768102	1	0	0
beta proteobacterium CB	species	2045720	1	0	0
Geobacillus sp. Y412MC61	species	3667901	1	0	0
Ferrimonas balearica DSM 9799	leaf	4279159	1	1	0
Prevotella melaninogenica ATCC 25845	leaf	3168282	1	1	0
Caulobacter crescentus NA1000	leaf	4042929	1	0	0
Luteipulveratus mongoliensis	species	5420910	1	0	0
Arcobacter nitrofigilis DSM 7299	leaf	3192235	1	1	0
Aminobacterium colombiense DSM 12261	leaf	1980592	1	1	0
Thermoanaerobacter sp. X513	species	2456520	1	0	0
Desulfovibrio magneticus RS-1	leaf	5315620	1	0	0
Isosphaera pallida ATCC 43644	leaf	5529304	1	1	0
Polynucleobacter asymbioticus	species	2159490	1	0	0
Methylotenera mobilis JLW8	leaf	2547570	1	0	0
Bacillus megaterium DSM 319	leaf	5097447	1	0	0
Variovorax paradoxus EPS	leaf	6550056	1	1	0
Blattabacterium sp. (Periplaneta americana) str. BPLAN	leaf	640442	1	1	0
Thermococcus sibiricus MM 739	leaf	1845800	1	1	0
Rhodococcus opacus B4	leaf	8834939	1	1	0
Edwardsiella ictaluri 93-146	leaf	3812301	1	1	0
Thermincola potens JR	leaf	3157416	1	0	0
Segniliparus rotundus DSM 44985	leaf	3157527	1	1	0
Desulfovibrio desulfuricans ND132	leaf	3858580	1	1	0
Altererythrobacter namhicola	species	2591679	1	1	0
Methanothermococcus okinawensis IH1	leaf	1677455	1	0	0
Actinoplanes sp. N902-109	species	9228054	1	0	0
Thaumarchaeota	phylum	0	1	0	0
Frankia symbiont of Datisca glomerata	species	5340989	1	1	0
Halanaerobium hydrogeniformans	species	2613117	1	1	0
Methylobacterium extorquens DM4	leaf	6123851	1	0	0
Methylotenera versatilis 301	leaf	3059871	1	1	0
Rhodanobacter denitrificans	species	4225490	1	1	0
Tenacibaculum dicentrarchi	species	2918253	1	1	0
Candidatus Babela massiliensis	species	1118422	1	0	0
Rhodoplanes sp. Z2-YC6860	species	8193889	1	1	0
Martelella sp. AD-3	species	5036008	1	0	0
Pseudothermotoga thermarum DSM 5069	leaf	2039943	1	1	0
Sphingobium chlorophenolicum L-1	leaf	4573221	1	1	0
Deinococcus proteolyticus MRP	leaf	2886836	1	1	0
Ruminococcus albus 7 = DSM 20455	leaf	4482087	1	1	0
Staphylococcus lugdunensis HKU09-01	leaf	2658366	1	0	0
Mycobacterium neoaurum VKM Ac-1815D	leaf	5421267	1	0	0
Niastella koreensis GR20-10	leaf	9033684	1	1	0
Novosphingobium sp. PP1Y	species	5313905	1	1	0
Mycobacterium chubuense NBB4	leaf	6342624	1	1	0
Actinomyces sp. oral taxon 414	species	3836419	1	0	0
Tannerella sp. oral taxon HOT-286	species	2973531	1	1	0
Thioalkalivibrio paradoxus ARh 1	leaf	3756729	1	1	0
Hyphomicrobium sp. MC1	species	4757528	1	1	0
Sphingobacterium sp. 21	species	6226409	1	1	0
Mycoplasma yeatsii GM274B	leaf	895051	1	1	0
Halobacteroides halobius DSM 5150	leaf	2649255	1	1	0
Rhizobium leguminosarum bv. trifolii WSM1689	leaf	6903379	1	1	0
Clostridium sp. BNL1100	species	4613747	1	1	0
Hippea maritima DSM 10411	leaf	1694430	1	1	0
Achromobacter xylosoxidans A8	leaf	7359146	1	1	0
Thiocystis violascens DSM 198	leaf	5017071	1	1	0
Parachlamydia acanthamoebae UV-7	leaf	3072383	1	1	0
Helicobacter pylori PeCan4	leaf	1638269	1	0	0
Pseudopropionibacterium propionicum F0230a	leaf	3449360	1	1	0
Frateuria aurantia DSM 6220	leaf	3603458	1	1	0
Lactobacillus delbrueckii subsp. bulgaricus ND02	leaf	2131976	1	1	0
Enterococcus hirae ATCC 9790	leaf	2856440	1	0	0
Natronobacterium gregoryi SP2	leaf	3788356	1	0	0
alpha proteobacterium HIMB5	species	1343202	1	0	0
Ralstonia solanacearum PSI07	leaf	5605618	1	0	0
Azospirillum lipoferum 4B	leaf	6846400	1	0	0
Haemophilus parainfluenzae T3T1	leaf	2086875	1	1	0
Streptococcus anginosus C1051	leaf	1911706	1	0	0
Streptococcus anginosus C238	leaf	2233640	1	0	0
Clostridium acetobutylicum EA 2018	leaf	4132226	1	0	0
Aerococcus urinae ACS-120-V-Col10a	leaf	2080974	1	0	0
Cellulophaga lytica DSM 7489	leaf	3765936	1	0	0
Methanobacterium paludis	species	2546541	1	1	0
Treponema succinifaciens DSM 2489	leaf	2897425	1	1	0
Marinithermus hydrothermalis DSM 14884	leaf	2269167	1	1	0
Mycobacterium sinense	species	4643668	1	1	0
Singulisphaera acidiphila DSM 18658	leaf	9755686	1	1	0
Anaerobaculum mobile DSM 13181	leaf	2160700	1	1	0
Vibrio vulnificus MO6-24/O	leaf	5007768	1	1	0
Methylobacterium sp. AMS5	species	5599206	1	0	0
Pseudomonas brassicacearum	species	6843248	1	0	0
Pantoea ananatis AJ13355	leaf	4877279	1	0	0
Salmonella enterica subsp. enterica serovar Choleraesuis str. ATCC 10708	leaf	4943435	1	0	0
Acetobacter pasteurianus subsp. paradoxus	subspecies	3216032	1	0	0
Granulicella	genus	5870780	1	0	0
Bacillus coagulans 2-6	leaf	3073079	1	0	0
Microbacterium testaceum StLB037	leaf	3982034	1	1	0
Chloracidobacterium thermophilum B	leaf	3695372	1	1	0
Burkholderia cepacia ATCC 25416	leaf	8605945	1	1	0
Clostridium acetobutylicum DSM 1731	leaf	4145581	1	0	0
Pseudomonas brassicacearum subsp. brassicacearum NFM421	leaf	6843248	1	0	0
Paenibacillus mucilaginosus K02	leaf	8819200	1	0	0
Aeromonas veronii B565	leaf	4551783	1	0	0
Burkholderia gladioli BSR3	leaf	9052299	1	0	0
Pseudomonas mendocina NK-01	leaf	5434353	1	1	0
Collimonas fungivorans Ter331	leaf	5186898	1	0	0
Gallibacterium anatis UMN179	leaf	2694139	1	1	0
Staphylococcus lugdunensis N920143	leaf	2595888	1	0	0
Paenibacillus mucilaginosus KNP414	leaf	8663821	1	0	0
Rhodospirillum rubrum F11	leaf	4352825	1	0	0
Bradyrhizobium japonicum USDA 6	leaf	9207384	1	0	0
Streptococcus infantarius subsp. infantarius CJ18	leaf	2008249	1	0	0
Bdellovibrio bacteriovorus str. Tiberius	leaf	3988594	1	1	0
Herbaspirillum rubrisubalbicans M1	leaf	5611261	1	0	0
Leptolyngbya sp. O-77	species	5480261	1	1	0
Persicobacter sp. JZB09	species	8251744	1	1	0
Pantoea ananatis PA13	leaf	4867131	1	0	0
Pseudonocardia sp. EC080619-01	species	7205934	1	0	0
Clavibacter michiganensis subsp. nebraskensis NCPPB 2581	leaf	3063596	1	0	0
Rickettsia rickettsii str. Brazil	leaf	1255681	1	0	0
Rickettsia rhipicephali str. 3-7-female6-CWPP	leaf	1305467	1	0	0
Chromobacterium vaccinii	species	5041230	1	0	0
Methanosaeta harundinacea 6Ac	leaf	2571034	1	1	0
Propionibacterium acnes TypeIA2 P.acn33	leaf	2489623	1	0	0
Propionibacterium acnes TypeIA2 P.acn17	leaf	2522885	1	0	0
Propionibacterium acnes TypeIA2 P.acn31	leaf	2498766	1	0	0
Elizabethkingia anophelis	species	4154397	1	1	0
Bacillus coagulans DSM 1 = ATCC 7050	leaf	3366995	1	0	0
Pantoea ananatis LMG 5342	leaf	4908144	1	0	0
Morganella morganii subsp. morganii KT	leaf	3799539	1	0	0
Rhizobium sp. NT-26	species	4577425	1	0	0
Mycobacterium marinum E11	leaf	6450522	1	0	0
Nocardia brasiliensis ATCC 700358	leaf	9436348	1	0	0
Streptomyces hygroscopicus subsp. jinggangensis 5008	leaf	10383684	1	0	0
Klebsiella michiganensis	species	29869212	1	0	0
Scardovia inopinata JCM 12537	leaf	1797862	1	1	0
Amycolatopsis orientalis HCCB10007	leaf	8982090	1	1	0
Cronobacter dublinensis subsp. dublinensis LMG 23823	leaf	4628405	1	1	0
Sphingomonas sp. NIC1	species	3660563	1	0	0
Draconibacterium orientale	species	5132075	1	1	0
Burkholderia glumae LMG 2196 = ATCC 33617	leaf	6820727	1	1	0
Niabella ginsenosidivorans	species	5627734	1	1	0
Pseudomonas pseudoalcaligenes CECT 5344	leaf	4686340	1	0	0
Bacillus oceanisediminis 2691	leaf	5848607	1	0	0
Streptomyces hygroscopicus subsp. jinggangensis TL01	leaf	10077952	1	0	0
Pseudomonas sp. UW4	species	6183388	1	1	0
Burkholderia pseudomultivorans	species	7956789	1	1	0
Bordetella bronchiseptica MO149	leaf	5091817	1	0	0
Legionella fallonii LLAP-10	leaf	4434890	1	1	0
Vibrio alginolyticus NBRC 15630 = ATCC 17749	leaf	5146637	1	0	0
Pseudomonas fluorescens NCIMB 11764	leaf	6998154	1	0	0
Sulfuritalea hydrogenivorans sk43H	leaf	3802648	1	0	0
Corynebacterium marinum DSM 44953	leaf	2729219	1	0	0
Dickeya solani IPO 2222	leaf	4919833	1	1	0
Bacillus velezensis AS43.3	leaf	3961368	1	1	0
Hymenobacter swuensis DY53	leaf	5252070	1	1	0
Paraburkholderia phenoliruptrix BR3459a	leaf	7651131	1	0	0
Sinorhizobium meliloti GR4	leaf	7141709	1	1	0
Prevotella fusca JCM 17724	leaf	3261806	1	1	0
Wolbachia endosymbiont of Drosophila simulans wHa	leaf	1295804	1	1	0
Variovorax paradoxus B4	leaf	7148516	1	0	0
Burkholderia thailandensis MSMB121	leaf	6731379	1	0	0
Burkholderia thailandensis 34	leaf	7120198	1	0	0
Burkholderia thailandensis MSMB59	leaf	6739500	1	0	0
Thioalkalivibrio nitratireducens DSM 14787	leaf	4002350	1	1	0
Flammeovirgaceae bacterium 311	species	6665617	1	1	0
Streptomyces sp. 769	species	10338286	1	0	0
Streptomyces sp. PAMC 26508	species	7630245	1	0	0
Corynebacterium urealyticum DSM 7111	leaf	2316065	1	0	0
Mycobacterium sp. VKM Ac-1817D	species	6324222	1	0	0
Bradyrhizobium icense	species	8322773	1	1	0
Spiroplasma sabaudiense Ar-1343	leaf	1075953	1	0	0
Pseudomonas poae RE*1-1-14	leaf	5512241	1	0	0
Raoultella ornithinolytica B6	leaf	5398151	1	0	0
Rickettsia prowazekii str. NMRC Madrid E	leaf	1111520	1	0	0
Rickettsia prowazekii str. Breinl	leaf	1109301	1	0	0
Isoptericola dokdonensis DS-3	leaf	3826972	1	1	0
Nocardioides dokdonensis FR1436	leaf	4376707	1	1	0
Planococcus sp. L10.15	species	3330075	1	0	0
Deinococcus soli' Cha et al. 2014	species	3236984	1	0	0
Acholeplasma palmae J233	leaf	1554229	1	1	0
Idiomarina loihiensis GSL 199	leaf	2839759	1	0	0
Pseudomonas syringae UMAF0158	leaf	5850990	1	1	0
Enterobacter cloacae ECR091	leaf	4959888	1	0	0
Enterobacter cloacae ECNIH3	leaf	5061388	1	0	0
Klebsiella oxytoca KONIH1	leaf	6684898	1	0	0
Pseudomonas fluorescens PICF7	leaf	6136735	1	0	0
Vibrio parahaemolyticus O1:Kuk str. FDA_R31	leaf	5223562	1	1	0
Pandoravirus salinus	species	2473870	1	1	0
Aureimonas sp. AU20	species	5210858	1	1	0
Ralstonia pickettii DTP0602	leaf	8125850	1	0	0
Pseudomonas putida S13.1.2	leaf	6621848	1	1	0
Salmonella enterica subsp. arizonae serovar 62:z36:- str. RKS2983	leaf	4574846	1	0	0
Bacteroidales bacterium CF	species	2657245	1	1	0
Rhizobium gallicum bv. gallicum R602	leaf	7311190	1	0	0
Rhizobium etli bv. phaseoli str. IE4803	leaf	6997434	1	1	0
Methanococcoides methylutens MM1	leaf	2394636	1	1	0
Methanosarcina lacustris Z-7289	leaf	4139808	1	0	0
Methanosarcina siciliae C2J	leaf	5427890	1	0	0
Streptomyces albulus ZPM	leaf	9784577	1	0	0
Trueperella pyogenes TP8	leaf	2272494	1	0	0
Streptomyces leeuwenhoekii	species	8122491	1	1	0
Xenorhabdus nematophila AN6/1	leaf	4586662	1	1	0
Escherichia albertii KF1	leaf	4701875	1	0	0
Kutzneria albida DSM 43870	leaf	9874926	1	0	0
Burkholderia vietnamiensis LMG 10929	leaf	6930496	1	1	0
Salmonella enterica subsp. enterica serovar Typhimurium str. USDA-ARS-USMARC-1810	leaf	4927870	1	0	0
Lentibacillus amyloliquefaciens	species	3858284	1	1	0
Candidatus Evansia muelleri	species	357498	1	1	0
Bacillus subtilis subsp. globigii	subspecies	4175482	1	0	0
Campylobacter sp. RM16704	species	1557536	1	1	0
Thermococcus eurythermalis	species	2126164	1	1	0
Paenibacillus sp. FSL R5-0345	species	6787172	1	1	0
Paenibacillus sp. FSL H7-0357	species	7692748	1	1	0
Limnochorda pilosa	species	3817036	1	0	0
Mycobacterium sp. NRRL B-3805	species	5421338	1	0	0
Edwardsiella sp. EA181011	species	3934167	1	1	0
Wenzhouxiangella marina	species	3675202	1	1	0
Candidatus Methylopumilus turicensis	species	1754988	1	0	0
Helicobacter himalayensis	species	1829936	1	1	0
Edwardsiella phage PEi20	species	177643	1	0	0
Sphingomonas hengshuiensis	species	5228389	1	1	0
Arthrobacter sp. IHBB 11108	species	3599434	1	1	0
Citromicrobium sp. JL477	species	3258499	1	1	0
Planctomyces sp. SH-PL62	species	6784659	1	1	0
Escherichia phage pro147	species	32675	1	0	0
Arthrobacter sp. YC-RL1	species	4018639	1	0	0
Ottowia sp. oral taxon 894	species	2925783	1	1	0
Pseudonocardia sp. EC080610-09	species	7131853	1	0	0
Bordetella sp. H567	species	5532470	1	1	0
Citrobacter sp. FDAARGOS_156	species	4727434	1	1	0
Chelatococcus sp. CO-6	species	5243734	1	1	0
Microbacterium sp. No. 7	species	4827965	1	0	0
Candidatus Nitrospira inopinata	species	3295117	1	0	0
Burkholderia sp. Bp7605	species	5705688	1	1	0
Kurthia sp. 11kri321	species	2964527	1	1	0
Flavobacterium sp. LPB0076	species	3027315	1	1	0
Pseudomonas sp. L10.10	species	5149788	1	0	0
Bosea sp. PAMC 26642	species	5510355	1	0	0
Burkholderia sp. PAMC 28687	species	6881273	1	0	0
Arthrobacter sp. ZXY-2	species	5058708	1	0	0
Enterobacter cloacae complex 'Hoffmann cluster III'	species	5010638	1	0	0
Colwellia sp. PAMC 20917	species	4683314	1	0	0
Bacillus sp. IHB B 7164	species	5036631	1	0	0
Polynucleobacter duraquae	species	2026292	1	0	0
Opitutaceae bacterium IG16b	species	4199284	1	0	0
Agrobacterium sp. RAC06	species	4964647	1	1	0
Hydrogenophaga sp. RAC07	species	4674684	1	1	0
Methyloversatilis sp. RAC08	species	3937190	1	0	0
Arthrobacter sp. U41	species	4792631	1	0	0
Arachidicoccus sp. BS20	species	3492500	1	1	0
haloarchaeon HTSR1	species	1972283	1	1	0
Pseudomonas sp. TCU-HL1	species	6256697	1	1	0
Marinobacter sp. Hb8	species	4121005	1	1	0
Xincheng anphevirus	species	12774	1	0	0
Gordonia phage Terrapin	species	66611	1	1	0
Bacillus sp. ABP14	species	5152566	1	0	0
Klebsiella sp. LTGPAF-6F	species	6790399	1	0	0
