name	taxRank	genomeSize	numReads	numUniqueReads	abundance
Homo sapiens	species	3238442024	37817387	23029073	5.81E-06
Human herpesvirus 4 type 2	leaf	172764	5437687	5431784	0.996473
synthetic construct	species	26537524	1482629	502149	0.000524149
Salmonella enterica subsp. enterica serovar Typhimurium	leaf	64608362	3551	2573	0
Alphapapillomavirus 7	species	7857	958	731	0
Streptomyces reticuli	species	9336224	510	2	0
Alphapapillomavirus 9	species	7906	467	207	0
Human papillomavirus type 26	leaf	7855	459	453	0
Rhodococcus erythropolis	species	6691155	365	0	0
Rhodococcus sp. 008	species	7438324	365	0	0
Delftia tsuruhatensis	species	7195716	311	138	0
Leuconostoc gelidum JB7	leaf	1893499	302	285	0
Human immunodeficiency virus 1	species	9181	284	233	0.00299663
Delftia acidovorans SPH-1	leaf	6767514	280	56	0
Delftia sp. Cs1-4	species	6685842	236	4	0
Human papillomavirus type 137	leaf	7236	214	212	0
Human papillomavirus type 128	leaf	7259	213	1	0
Rhodococcus erythropolis PR4	leaf	6895538	188	0	0
Rhodococcus erythropolis CCM2595	leaf	6371421	188	0	0
Rhodococcus erythropolis R138	leaf	6806506	187	0	0
Macacine herpesvirus 4	species	171096	179	169	0
Human papillomavirus type 34	leaf	7723	146	144	0
Ralstonia insidiosa	species	12164766	123	5	0
Paucibacter sp. KCTC 42545	species	5169161	111	110	0
Brevundimonas naejangsanensis	species	2971535	108	70	0
Flavobacterium psychrophilum	species	2803807	93	0	0
Runella slithyformis DSM 19594	leaf	6919729	93	93	0
Delftia	genus	6767514	82	0	0
Rhodococcus opacus	species	9001985	81	1	0
Stenotrophomonas maltophilia R551-3	leaf	4573969	78	64	0
Solitalea canadensis DSM 3403	leaf	5202069	74	64	0
Corynebacterium marinum DSM 44953	leaf	2729219	74	74	0
Caulobacter sp. K31	species	5889399	73	0	0
Alphapapillomavirus 3	species	7989	70	67	0
Brevundimonas sp. GW460-12-10-14-LB2	species	3263775	66	60	0
Rhodococcus sp. WMMA185	species	4444448	64	0	0
Rhodococcus sp. p52	species	5413283	64	0	0
Rhodococcus pyridinivorans SB3094	leaf	5590512	64	0	0
Rhodococcus jostii RHA1	leaf	9702737	62	0	0
Caulobacter crescentus CB15	leaf	4016947	62	0	0
Caulobacter crescentus NA1000	leaf	4042929	62	0	0
[Polyangium] brachysporum	species	6476147	61	17	0
Alicycliphilus denitrificans	species	4953232	60	0	0
Candidatus Korarchaeum cryptofilum OPF8	leaf	1590757	60	56	0
Corynebacterium ureicelerivorans	species	2328278	57	40	0
Methylobacterium sp. AMS5	species	5599206	57	1	0
Methylobacterium extorquens	species	6163878	56	0	0
Staphylococcus pseudintermedius	species	2594798	56	1	0
Methylobacterium populi BJ001	leaf	5848997	56	0	0
Sphingobacterium sp. ML3W	species	5329010	56	56	0
Hydrogenophaga sp. RAC07	species	4674684	55	5	0
Staphylococcus schleiferi	species	12494798	54	0	0
Pseudomonas alcaligenes	species	4406305	54	2	0
Deinococcus deserti VCD115	leaf	3855329	54	0	0
Staphylococcus hyicus	species	2472129	53	0	0
Staphylococcus agnetis	species	2503399	53	0	0
Papio hamadryas papillomavirus type 1	species	8008	53	53	0
Bartonella	genus	1830994	51	0	0
Aminobacter	genus	0	51	0	0
Mesorhizobium	genus	7011064	51	0	0
Rhizobiaceae	family	5682728	51	0	0
Pseudomonas mendocina NK-01	leaf	5434353	51	0	0
Pseudomonas mendocina S5.2	leaf	5372474	51	0	0
Hydrogenophaga sp. LPB0072	species	4944132	50	0	0
Pseudoalteromonas rubra	species	5913780	49	40	0
Bosea vaviloviae	species	6713548	49	0	0
Bosea sp. RAC05	species	5620120	49	0	0
Comamonas testosteroni	species	5695231	48	0	0
Bosea sp. PAMC 26642	species	5510355	48	1	0
Acidovorax sp. JS42	species	4585154	47	0	0
Acidovorax ebreus	species	3796573	46	0	0
Arthrobacter sp. ATCC 21022	species	4434904	46	46	0
Micrococcus luteus NCTC 2665	leaf	2501097	43	42	0
Azospirillum lipoferum 4B	leaf	6846400	43	41	0
Leptothrix cholodnii SP-6	leaf	4909403	41	0	0
Enterococcus durans	species	6143683	40	0	0
Burkholderiales	order	6491917	40	0	0
Gallionellaceae	family	3083063	40	0	0
Variovorax paradoxus S110	leaf	6754997	40	1	0
Stenotrophomonas	genus	4684682	39	0	0
Pseudoxanthomonas suwonensis	species	3419049	39	0	0
Acidovorax avenae subsp. avenae ATCC 19860	leaf	5482170	39	1	0
Microbacterium sp. PAMC 28756	species	3539061	39	3	0
Verminephrobacter eiseniae EF01-2	leaf	5597943	38	0	0
Magnetospirillum sp. XM-1	species	4992477	38	0	0
